UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 23:29 ?        00:00:04 /sbin/init splash noprompt noshell automatic-ubiquity
root           2       0  0 23:29 ?        00:00:00 [kthreadd]
root           3       2  0 23:29 ?        00:00:00 [pool_workqueue_release]
root           4       2  0 23:29 ?        00:00:00 [kworker/R-rcu_g]
root           5       2  0 23:29 ?        00:00:00 [kworker/R-rcu_p]
root           6       2  0 23:29 ?        00:00:00 [kworker/R-slub_]
root           7       2  0 23:29 ?        00:00:00 [kworker/R-netns]
root           9       2  1 23:29 ?        00:00:23 [kworker/0:1-mm_percpu_wq]
root          10       2  0 23:29 ?        00:00:05 [kworker/0:0H-kblockd]
root          11       2  3 23:29 ?        00:00:59 [kworker/u2:0-loop5]
root          12       2  0 23:29 ?        00:00:00 [kworker/R-mm_pe]
root          13       2  0 23:29 ?        00:00:00 [rcu_tasks_kthread]
root          14       2  0 23:29 ?        00:00:00 [rcu_tasks_rude_kthread]
root          15       2  0 23:29 ?        00:00:00 [rcu_tasks_trace_kthread]
root          16       2  2 23:29 ?        00:00:32 [ksoftirqd/0]
root          17       2  0 23:29 ?        00:00:05 [rcu_preempt]
root          18       2  0 23:29 ?        00:00:00 [migration/0]
root          19       2  0 23:29 ?        00:00:00 [idle_inject/0]
root          20       2  0 23:29 ?        00:00:00 [cpuhp/0]
root          21       2  0 23:29 ?        00:00:00 [kdevtmpfs]
root          22       2  0 23:29 ?        00:00:00 [kworker/R-inet_]
root          24       2  0 23:29 ?        00:00:00 [kauditd]
root          25       2  0 23:29 ?        00:00:00 [khungtaskd]
root          26       2  0 23:29 ?        00:00:00 [oom_reaper]
root          27       2  0 23:29 ?        00:00:00 [kworker/R-write]
root          28       2  0 23:29 ?        00:00:00 [kcompactd0]
root          29       2  0 23:29 ?        00:00:00 [ksmd]
root          30       2  0 23:29 ?        00:00:00 [khugepaged]
root          31       2  0 23:29 ?        00:00:00 [kworker/R-kinte]
root          32       2  0 23:29 ?        00:00:00 [kworker/R-kbloc]
root          33       2  0 23:29 ?        00:00:00 [kworker/R-blkcg]
root          35       2  0 23:29 ?        00:00:00 [irq/9-acpi]
root          36       2  0 23:29 ?        00:00:00 [kworker/R-tpm_d]
root          37       2  0 23:29 ?        00:00:00 [kworker/R-ata_s]
root          38       2  0 23:29 ?        00:00:00 [kworker/R-md]
